,,,,,,,,,"ABN 16 515 245 497
www.aihw.gov.au
Australian Institute of Health and Welfare
GPO Box 570, Canberra ACT 2601, Australia
Email: myhealthycommunities@aihw.gov.au",,,,,
"GP attendances and associated Medicare benefits expenditure, by Primary Health Network (PHN) area",,,,,,,,,,,,,,
Reporting period: 2013¨C14 to 2016¨C17,,,,,,,,,,,,,,
Explanatory notes,,,,,,,,,,,,,,
NP - not available for publication.,,,,,,,,,,,,,,
For more information and detailed specifications of measures see the Technical Note.,,,,,,,,,,,,,,
"Source: Australian Institute of Health and Welfare analysis of Department of Human Services, Medicare Benefits claims data, and Australian Bureau of Statistics, Estimated Resident Population.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,All GP attendances,,,,,After-hours GP attendances,,,,,
,,,,Attendances per person,,Medicare benefits expenditure       per person ($),,Bulk-billed GP attendances (%),Attendances per person,,Medicare benefits expenditure      per person ($),,,
State,PHN code,PHN Name,Reporting Year,Crude,Age-standardised,Crude,Age-standardised,,Crude,Age-standardised,Crude,Age-standardised ,,
National,National,Australia,2016-17,6.1,5.9,308.39,295.32,85.7,0.49,0.49,32.81,32.43,,
NSW,PHN101,Central and Eastern Sydney,2016-17,5.8,5.8,291.75,289.36,88.6,0.48,0.48,30.44,30.50,,
NSW,PHN102,Northern Sydney,2016-17,5.4,5.1,275.24,258.75,76.2,0.44,0.43,27.99,27.25,,
NSW,PHN103,Western Sydney,2016-17,7.4,7.5,360.61,368.74,96.5,0.86,0.85,50.72,50.51,,
NSW,PHN104,Nepean Blue Mountains,2016-17,7.2,7.1,353.67,348.19,94.0,0.55,0.55,34.92,34.97,,
NSW,PHN105,South Western Sydney,2016-17,7.7,7.7,363.75,363.10,96.3,0.73,0.73,42.95,42.70,,
NSW,PHN106,South Eastern NSW,2016-17,6.5,5.9,325.69,294.56,86.5,0.3,0.3,18.97,18.57,,
NSW,PHN107,Western NSW,2016-17,5.7,5.3,295.57,271.74,88.1,0.18,0.18,10.72,10.30,,
NSW,PHN108,Hunter New England and Central Coast,2016-17,6.3,5.8,326.12,294.00,84.4,0.32,0.32,22.06,21.79,,
NSW,PHN109,North Coast,2016-17,6.6,5.7,353.95,303.71,87.0,0.2,0.2,14.77,14.38,,
NSW,PHN110,Murrumbidgee,2016-17,6,5.5,303.86,274.13,83.0,0.2,0.19,14.35,13.92,,
VIC,PHN201,North Western Melbourne,2016-17,6.5,6.6,316.41,325.42,90.4,0.83,0.83,50.88,50.84,,
VIC,PHN202,Eastern Melbourne,2016-17,6,5.8,300.05,285.02,83.6,0.64,0.63,40.46,39.49,,
VIC,PHN203,South Eastern Melbourne,2016-17,6.2,6,305.35,293.73,82.7,0.67,0.66,41.42,40.52,,
VIC,PHN204,Gippsland,2016-17,6.4,5.8,305.23,272.03,86.4,0.18,0.18,11.62,11.24,,
VIC,PHN205,Murray,2016-17,6.2,5.8,309.52,282.11,81.9,0.29,0.3,19.43,19.48,,
VIC,PHN206,Western Victoria,2016-17,6.1,5.7,300.58,275.14,82.1,0.36,0.37,23.4,23.31,,
QLD,PHN301,Brisbane North,2016-17,5.9,5.8,303.14,298.83,80.5,0.46,0.46,35.26,35.22,,
QLD,PHN302,Brisbane South,2016-17,6.2,6.2,313.81,314.34,86.2,0.53,0.53,38.03,37.91,,
QLD,PHN303,Gold Coast,2016-17,6.8,6.5,355.17,338.10,89.9,0.66,0.66,52.32,52.54,,
